Timestamp,Filename,ExpTime_s,Stacks,Sky_mag_arcsec2,Seeing_FWHM_arcsec,K_Const,Est_Limit_Mag_1Fr,Est_Limit_Mag_Stack,Stars,Confidence,Airmass,Altitude
,,,,,,,,,,,,
2026-04-17 16:12:23,NARROW ECLIPTIC_NIGHT_2026-04-16_001_2026-04-16_20-42-15_2x2_60.00s_0014.fits,60.0,30,18.61,4.97,7.6,17.39,19.23,73,MEDIUM,1.747,N/A
2026-04-17 16:19:38,NARROW ECLIPTIC_NIGHT_2026-04-16_002_2026-04-16_22-16-29_2x2_60.00s_0100.fits,60.0,30,19.09,4.91,7.6,17.64,19.49,82,MEDIUM,1.176,N/A
2026-04-17 16:22:05,NARROW ECLIPTIC_NIGHT_2026-04-16_003_2026-04-16_23-56-09_2x2_60.00s_0191.fits,60.0,30,19.05,3.96,7.6,17.85,19.70,90,MEDIUM,1.010,N/A
2026-04-17 16:24:13,NARROW ECLIPTIC_NIGHT_2026-04-16_004_2026-04-17_01-51-30_2x2_60.00s_0283.fits,60.0,30,18.78,4.73,7.6,17.53,19.37,93,MEDIUM,1.083,N/A
2026-04-17 20:11:56,NE_20260417_001_2026-04-17_20-08-16_2x2_60.00s_0003.fits,60.0,30,18.16,6.63,7.6,16.85,18.69,15,LOW,1.462,N/A
2026-04-18 19:37:29,NARROW ECLIPTIC_NIGHT_2026-04-16_001_2026-04-16_20-35-47_2x2_60.00s_0008.fits,60.0,30,18.61,4.65,7.6,17.46,19.31,65,MEDIUM,1.819,N/A
2026-04-18 19:39:22,NARROW ECLIPTIC_NIGHT_2026-04-16_002_2026-04-16_22-09-48_2x2_60.00s_0094.fits,60.0,30,19.09,4.54,7.6,17.72,19.57,85,MEDIUM,1.197,N/A
2026-04-18 19:40:56,NARROW ECLIPTIC_NIGHT_2026-04-16_003_2026-04-16_23-54-55_2x2_60.00s_0190.fits,60.0,30,19.04,4.18,7.6,17.79,19.64,79,MEDIUM,1.010,N/A
2026-04-18 19:42:15,NARROW ECLIPTIC_NIGHT_2026-04-16_004_2026-04-17_01-54-50_2x2_60.00s_0286.fits,60.0,30,18.78,4.57,7.6,17.56,19.41,93,MEDIUM,1.089,N/A
2026-04-18 19:49:47,NARROW ECLIPTIC_NIGHT_2026-04-16_001_2026-04-16_20-30-20_2x2_60.00s_0003.fits,60.0,30,18.61,5.95,7.6,17.19,19.04,49,MEDIUM,1.885,N/A
2026-04-18 19:50:35,NARROW ECLIPTIC_NIGHT_2026-04-16_001_2026-04-16_20-33-41_2x2_60.00s_0006.fits,60.0,30,18.61,5.15,7.6,17.35,19.20,58,MEDIUM,1.844,N/A
2026-04-18 20:12:33,NARROW ECLIPTIC_NIGHT_2026-04-16_002_2026-04-16_22-17-32_2x2_60.00s_0101.fits,60.0,30,19.09,4.94,7.6,17.63,19.48,79,MEDIUM,1.173,N/A
2026-04-18 20:13:40,NARROW ECLIPTIC_NIGHT_2026-04-16_003_2026-04-16_23-53-52_2x2_60.00s_0189.fits,60.0,30,19.05,4.11,7.6,17.81,19.66,85,MEDIUM,1.011,N/A
2026-04-18 20:14:24,NARROW ECLIPTIC_NIGHT_2026-04-16_004_2026-04-17_01-52-45_2x2_60.00s_0284.fits,60.0,30,18.78,4.70,7.6,17.53,19.38,94,MEDIUM,1.085,N/A
2026-04-18 23:45:49,NE_20260418_001_2026-04-18_21-26-05_2x2_60.00s_0012.fits,60.0,30,18.60,4.70,7.6,17.45,19.29,102,HIGH,1.212,N/A
2026-04-19 05:55:24,NE_20260418_003_2026-04-19_00-41-25_2x2_60.00s_0191.fits,60.0,30,18.15,4.63,7.6,17.23,19.08,93,MEDIUM,1.266,N/A
2026-04-19 05:56:30,NE_20260418_003_2026-04-19_02-02-59_2x2_60.00s_0266.fits,60.0,30,18.15,5.07,7.6,17.13,18.98,53,MEDIUM,1.714,N/A
2026-04-19 05:57:58,NE_20260418_003_2026-04-19_00-34-57_2x2_60.00s_0185.fits,60.0,30,18.14,4.57,7.6,17.25,19.09,95,MEDIUM,1.247,N/A
2026-04-19 05:58:58,NE_20260418_003_2026-04-19_02-11-34_2x2_60.00s_0274.fits,60.0,30,18.15,4.77,7.6,17.20,19.05,50,MEDIUM,1.797,N/A
2026-04-19 05:59:29,NE_20260418_003_2026-04-19_00-34-57_2x2_60.00s_0185.fits,60.0,30,18.14,4.57,7.6,17.25,19.09,95,MEDIUM,1.247,N/A
2026-04-19 06:04:50,NE_20260418_004_2026-04-19_02-15-39_2x2_60.00s_0277.fits,60.0,30,17.48,5.58,7.6,16.70,18.54,37,MEDIUM,1.900,N/A
2026-04-19 06:24:45,NE_20260418_002_2026-04-18_22-56-46_2x2_60.00s_0095.fits,60.0,30,18.61,4.55,7.6,17.48,19.33,111,HIGH,1.123,N/A
2026-04-19 06:35:07,NE_20260418_002_2026-04-19_00-33-35_2x2_60.00s_0184.fits,60.0,30,18.61,4.64,7.6,17.46,19.31,83,MEDIUM,1.258,N/A
